"","X","carat","cut","color","clarity","depth","table","price","x","y","z"
"195",16164,1.22,"Ideal","I","VS1",62.3,54,6459,6.82,6.86,4.26
"196",2575,0.71,"Ideal","D","VS2",62.7,57,3212,5.7,5.75,3.59
"197",21768,1.51,"Good","E","SI2",63.2,56,9833,7.26,7.32,4.61
"198",44498,0.51,"Ideal","G","VS1",61.4,54,1599,5.15,5.18,3.17
"199",14839,1.2,"Premium","G","VS1",62.9,59,5975,6.75,6.69,4.23
"200",52348,0.55,"Ideal","E","VVS2",61.4,56,2499,5.28,5.31,3.25
"201",213,0.71,"Ideal","F","VS2",62.1,54,2780,5.68,5.72,3.54
"202",785,0.71,"Premium","D","SI1",60.7,58,2861,5.95,5.78,3.56
"203",34848,0.3,"Ideal","G","VVS2",61.5,56,878,4.34,4.31,2.66
"204",50584,0.7,"Very Good","G","SI1",62.7,55,2281,5.63,5.66,3.54
"205",15087,1.05,"Very Good","D","SI1",59.3,58,6063,6.68,6.74,3.98
"206",41986,0.51,"Premium","D","SI2",62,58,1264,5.08,5.12,3.16
"207",35113,0.3,"Ideal","F","IF",62,56,886,4.31,4.33,2.68
"208",20299,1.2,"Very Good","G","VVS2",62.4,56,8712,6.68,6.74,4.19
"209",19814,1.6,"Very Good","F","SI2",60.5,60,8377,7.52,7.55,4.56
"210",25617,1.51,"Ideal","E","VS2",61.7,55,14482,7.37,7.34,4.54
"211",25160,1.54,"Premium","G","VS1",61.9,59,13733,7.37,7.34,4.55
"212",50239,0.51,"Ideal","E","VS1",61.4,56,2233,5.14,5.16,3.16
"213",22015,1.5,"Ideal","I","VS1",61.3,57,10080,7.35,7.32,4.5
"214",6527,0.9,"Very Good","D","SI1",61.8,61,4068,6.16,6.2,3.82
"215",51110,0.72,"Ideal","E","SI2",61.7,57,2337,5.72,5.78,3.55
"216",32577,0.41,"Very Good","F","SI1",62.4,60,801,4.73,4.75,2.96
"217",39971,0.5,"Very Good","F","SI1",63.2,58,1106,5.08,5.04,3.2
"218",20857,1.57,"Very Good","H","SI2",58.6,62,9077,7.71,7.64,4.5
"219",45175,0.53,"Ideal","F","VS2",61.2,56,1655,5.22,5.25,3.2
"220",22278,1.56,"Premium","H","VS2",62.4,58,10331,7.44,7.39,4.63
"221",50680,0.7,"Very Good","I","VS1",62.7,58,2288,5.61,5.65,3.53
"222",23457,1.53,"Very Good","H","VS2",60.9,63,11452,7.37,7.41,4.5
"223",50209,0.75,"Very Good","H","SI2",61.9,56,2228,5.79,5.87,3.61
"224",34187,0.33,"Premium","G","VS1",62.8,58,854,4.41,4.38,2.76
"225",12274,0.92,"Very Good","E","VS1",61.3,57,5210,6.22,6.27,3.83
"226",15953,1,"Very Good","F","VS2",63.3,55,6382,6.34,6.29,4
"227",27510,2.02,"Very Good","H","SI1",59.3,60,18236,8.14,8.21,4.85
"228",4933,0.91,"Fair","D","SI1",64.7,61,3730,6.06,5.99,3.9
"229",7475,1,"Premium","F","SI1",60.8,59,4234,6.45,6.41,3.91
"230",45036,0.54,"Premium","E","SI1",61.6,61,1637,5.23,5.2,3.21
"231",28330,0.33,"Ideal","F","VS2",61.9,55,666,4.43,4.46,2.75
"232",17344,1.18,"Ideal","G","SI1",62,56,6960,6.76,6.79,4.2
"233",29415,0.42,"Very Good","E","SI2",62.9,56,700,4.77,4.8,3.01
"234",35280,0.39,"Ideal","I","IF",62.3,54,895,4.69,4.71,2.93
"235",11353,1.21,"Very Good","H","SI2",61.1,60,4991,6.86,6.91,4.21
"236",13368,0.24,"Very Good","F","VS1",63,59,419,3.93,3.97,2.49
"237",15591,1.24,"Ideal","H","SI1",61.3,57,6254,6.95,6.89,4.24
"238",24798,1.56,"Premium","G","VS2",61.9,58,13178,7.4,7.44,4.59
"239",17790,1,"Premium","E","VS2",61.3,58,7168,6.41,6.38,3.92
"240",43460,0.46,"Very Good","E","VS1",60.3,59.2,1417,4.96,5.02,3.01
"241",11849,0.91,"Premium","E","VS1",60.6,58,5101,6.32,6.25,3.81
"242",7612,0.9,"Premium","E","SI1",62.2,59,4259,6.21,6.16,3.88
"243",12314,1,"Premium","F","SI1",62.3,59,5221,6.44,6.36,3.99
"244",26511,2.01,"Very Good","H","SI2",60.5,61,16140,8.09,8.14,4.91
"245",27033,0.32,"Ideal","G","VS1",61.9,55,645,4.39,4.43,2.73
"246",7862,1.13,"Ideal","I","SI2",61.7,57,4307,6.59,6.7,4.13
"247",24499,1.19,"Ideal","F","VVS1",61.9,57,12776,6.84,6.79,4.22
"248",13541,1.14,"Ideal","G","SI1",62.2,56,5548,6.66,6.69,4.15
"249",41308,0.38,"Ideal","F","IF",62.2,54,1212,4.64,4.69,2.9
"250",43829,0.51,"Good","F","VS2",63.1,59,1444,5.04,5.1,3.2
"251",14553,1,"Premium","D","SI1",59.6,57,5880,6.54,6.44,3.87
"252",974,0.8,"Ideal","G","SI2",62.5,55,2893,5.89,5.92,3.69
"253",36603,0.32,"Ideal","D","SI2",62.6,56,477,4.38,4.4,2.75
"254",5887,1.01,"Premium","E","SI2",59.4,59,3928,6.51,6.49,3.86
"255",9118,1.01,"Premium","F","SI2",61.7,60,4533,6.36,6.42,3.94
"256",2570,0.73,"Premium","F","VS1",60.7,61,3211,5.79,5.75,3.5
"257",44368,0.54,"Ideal","G","VS2",62,54,1580,5.22,5.27,3.25
"258",29966,0.31,"Very Good","H","SI1",61.4,55,446,4.36,4.44,2.7
"259",18967,1.16,"Very Good","F","VS2",60.2,63,7803,6.79,6.7,4.07
"260",32357,0.36,"Very Good","E","VS2",62.8,55,789,4.49,4.56,2.84
"261",36020,0.39,"Premium","J","VVS1",62.8,58,921,4.66,4.61,2.91
"262",32724,0.31,"Premium","F","VS2",61.8,59,802,4.33,4.31,2.67
"263",39890,0.42,"Ideal","F","VS1",61,57,1103,4.87,4.84,2.96
"264",40435,0.36,"Ideal","F","IF",62.2,55,1137,4.57,4.62,2.86
"265",5449,0.9,"Premium","E","SI2",61.7,58,3830,6.18,6.11,3.79
"266",29868,0.3,"Very Good","D","VS2",62.9,61,710,4.27,4.29,2.69
"267",52898,0.81,"Premium","H","SI1",59.1,57,2585,6.16,6.09,3.62
"268",52147,0.72,"Ideal","F","SI1",61.7,55,2470,5.74,5.77,3.55
"269",15542,1.03,"Premium","G","VS2",58.9,59,6229,6.65,6.59,3.9
"270",16303,1.01,"Good","E","VS2",58,60,6522,6.64,6.68,3.86
"271",14098,1.23,"Premium","H","SI2",62,59,5717,6.92,6.88,4.28
"272",38410,0.35,"Premium","G","VVS2",62.4,56,1024,4.53,4.47,2.81
"273",22647,1.51,"Ideal","F","SI1",62.5,57,10693,7.27,7.32,4.56
"274",42691,0.5,"Ideal","E","SI1",61.6,57,1337,5.08,5.11,3.14
"275",14299,1.01,"Very Good","F","SI1",62.3,55,5789,6.38,6.42,3.99
"276",9004,1.07,"Ideal","D","SI2",61.4,56,4513,6.55,6.58,4.03
"277",19514,1.7,"Good","J","VS2",64,58,8146,7.41,7.47,4.76
"278",39134,0.41,"Premium","G","VS2",61.8,59,1061,4.76,4.72,2.93
"279",29125,0.41,"Ideal","F","SI1",62.2,54,690,4.78,4.8,2.98
"280",28539,0.3,"Premium","E","SI1",62.7,60,675,4.28,4.24,2.67
"281",45004,0.57,"Ideal","F","VS2",59.2,57,1637,5.45,5.5,3.24
"282",4441,1,"Good","J","SI1",59.5,61,3616,6.46,6.52,3.86
"283",22613,1.09,"Very Good","F","IF",61.1,58,10663,6.63,6.69,4.07
"284",17315,1.01,"Ideal","G","VS2",62.7,54,6937,6.43,6.47,4.04
"285",17284,1.03,"Ideal","F","VS2",62.3,56,6922,6.52,6.49,4.05
"286",30184,0.31,"Ideal","E","VS1",61.6,55,722,4.39,4.41,2.71
"287",22319,1.31,"Ideal","G","VS1",62,58,10359,6.97,7.02,4.34
"288",49004,0.74,"Premium","I","SI2",61,60,2051,5.8,5.75,3.52
"289",42950,0.3,"Ideal","J","VS1",59.7,57,506,4.4,4.37,2.62
"290",35160,0.32,"Premium","G","IF",61,59,891,4.38,4.41,2.68
"291",50303,0.27,"Very Good","D","VVS1",61,61,544,4.14,4.15,2.53
"292",33763,0.4,"Very Good","G","SI1",63.2,58,840,4.7,4.61,2.94
"293",43500,0.47,"Very Good","D","VS1",59.5,61,1422,5.06,5.03,3.02
"294",21860,1.23,"Ideal","G","VVS2",62.2,56.1,9921,6.8,6.87,4.25
"295",47271,0.5,"Ideal","D","VS2",61.7,56,1844,5.12,5.14,3.16
"296",3689,0.9,"Good","H","SI1",62.8,62,3447,6.05,6.09,3.81
"297",46587,0.55,"Very Good","G","VS1",62,57,1786,5.25,5.3,3.27
"298",40270,0.33,"Ideal","D","SI2",62,57,492,4.45,4.46,2.76
"299",31780,0.42,"Very Good","E","SI1",62.5,55,773,4.8,4.83,3.01
"300",3376,0.24,"Ideal","F","VS2",61.8,57,408,3.97,3.99,2.46
"301",38861,0.4,"Ideal","F","VS1",61.1,56,1050,4.78,4.75,2.91
"302",37664,0.42,"Premium","F","SI1",61.8,58,992,4.84,4.81,2.98
"303",50692,0.53,"Ideal","F","VS2",61.6,56,2290,5.26,5.23,3.23
"304",28401,0.29,"Premium","G","VVS1",62,58,669,4.23,4.19,2.61
"305",26016,0.38,"Very Good","H","VS2",61.5,55,645,4.66,4.67,2.86
"306",5004,0.91,"Ideal","H","VS2",63,56,3743,6.15,6.05,3.84
"307",46026,0.51,"Ideal","F","VS1",61.7,55,1728,5.13,5.17,3.18
"308",25431,1.5,"Premium","E","VS2",62.3,60,14179,7.27,7.2,4.51
"309",4554,0.77,"Very Good","D","VS1",62.4,58,3643,5.82,5.87,3.65
"310",29096,0.36,"Ideal","D","SI2",62,56,689,4.6,4.56,2.84
"311",52287,0.71,"Very Good","G","VS1",63.3,56,2494,5.67,5.64,3.58
"312",45727,0.63,"Ideal","F","SI1",62.6,56,1698,5.53,5.49,3.45
"313",5848,1,"Very Good","G","SI2",63.3,56,3920,6.38,6.29,4.01
"314",46861,0.51,"Good","G","VVS2",58.1,62,1813,5.24,5.3,3.06
"315",37352,0.4,"Very Good","F","VS1",62.9,58,982,4.67,4.71,2.95
"316",12975,1.03,"Very Good","D","SI1",61.8,57,5393,6.49,6.53,4.02
"317",10623,1,"Ideal","E","SI2",61.8,57,4829,6.43,6.39,3.96
"318",10343,1.06,"Very Good","G","SI2",61,57,4769,6.58,6.61,4.02
"319",24616,1.39,"Ideal","G","IF",60.6,55,12943,7.21,7.27,4.39
"320",24383,0.38,"Ideal","F","I1",62.5,57,638,4.64,4.61,2.89
"321",23924,2.01,"Premium","J","SI1",62.3,59,12048,8.03,7.97,4.98
"322",19667,1.5,"Good","J","VVS2",63.3,57,8276,7.25,7.28,4.6
"323",21307,1.35,"Ideal","H","VS2",60.8,56,9462,7.13,7.17,4.35
"324",9091,0.9,"Ideal","D","SI1",62.1,57,4523,6.18,6.25,3.86
"325",42704,0.52,"Good","F","SI1",63.8,56,1338,5.12,5.07,3.25
"326",13451,1.03,"Premium","H","VS1",62.5,59,5523,6.43,6.47,4.03
"327",18547,1.5,"Premium","E","SI2",61.1,58,7560,7.34,7.31,4.47
"328",20807,1.58,"Very Good","G","SI2",60,53,9037,7.59,7.64,4.57
"329",47900,0.54,"Ideal","G","VVS2",61.7,57,1914,5.23,5.26,3.23
"330",35348,0.38,"Ideal","E","SI1",61.9,55,898,4.7,4.64,2.89
"331",42628,0.32,"Very Good","H","VS2",62.3,57,505,4.37,4.39,2.73
"332",14568,1.04,"Premium","F","SI1",59.5,60,5882,6.62,6.59,3.93
